-1.997997997997998043e+00 1.111832110341789406e-03 2.223661480123349538e-03 -3.335485368732787372e-03 -4.447301035663345399e-03 5.559105740347264346e-03
-1.995995995995996086e+00 2.223661471853459991e-03 4.447300969646445119e-03 -6.670896519418624375e-03 -8.894426147826881360e-03 1.111786788201651020e-02
-1.993993993993993907e+00 3.335485335711690664e-03 6.670896478186505961e-03 -1.000615923566199050e-02 -1.334119941994986805e-02 1.667594284756696021e-02
-1.991991991991991950e+00 4.447300953106748424e-03 8.894426015795693294e-03 -1.334119930437018681e-02 -1.778744494940943943e-02 2.223298710203099396e-02
-1.989989989989989994e+00 5.559105575249289992e-03 1.111786759317858614e-02 -1.667594251740465300e-02 -2.223298685445882286e-02 2.778865717414746861e-02
-1.987987987987988037e+00 6.670896453377160411e-03 1.334119922190962065e-02 -2.001031467323219001e-02 -2.667764928118477458e-02 3.334260967759105493e-02
-1.985985985985986080e+00 7.782670838762179716e-03 1.556439891465057242e-02 -2.334424157857598742e-02 -3.112125641046391625e-02 3.889450133219635175e-02
-1.983983983983983901e+00 8.894425982716946955e-03 1.778744468536796325e-02 -2.667764905006655973e-02 -3.556363246491760916e-02 4.444398898517548657e-02
-1.981981981981981944e+00 1.000615913660162816e-02 2.001031454955052094e-02 -3.001046291589232543e-02 -4.000460171586532609e-02 4.999072963232770866e-02
-1.979979979979979987e+00 1.111786755183076340e-02 2.223298652442657480e-02 -3.334260901745009220e-02 -4.444398849027594856e-02 5.553438043923995815e-02
-1.977977977977978030e+00 1.222954847988004870e-02 2.445543862918143213e-02 -3.667401321099508782e-02 -4.888161717771698223e-02 6.107459876247683939e-02
-1.975975975975976073e+00 1.334119917229313959e-02 2.667764888517481711e-02 -4.000460136929081395e-02 -5.331731223730120511e-02 6.661104217075877743e-02
-1.973973973973973894e+00 1.445281688068844432e-02 2.889959531615814148e-02 -4.333429938325836922e-02 -5.775089820463060603e-02 7.214336846612721954e-02
-1.971971971971971938e+00 1.556439885676592048e-02 3.112125594849189658e-02 -4.666303316362554326e-02 -6.218219969873733238e-02 7.767123570509515407e-02
